"","group_id","eff1eff2","eff2minus1","rho01rho02","rho02minus01","method2","method2, method3","method3","method3, method4_Chi2","method4_Chi2","n"
"43",78,"(0.4, 0.57)",0.17,"(0.1, 0.1)",0,"0%","0%","100% (n = 300)","0%","0%",300
"44",79,"(0.4, 0.57)",0.17,"(0.07, 0.1)",0.03,"0%","0%","100% (n = 300)","0%","0%",300
"45",80,"(0.4, 0.57)",0.17,"(0.05, 0.1)",0.05,"0%","9% (n = 28)","91% (n = 272)","0%","0%",300
"46",17,"(0.14, 0.33)",0.19,"(0.1, 0.05)",-0.05,"39% (n = 116)","0%","0%","0%","61% (n = 184)",300
"47",16,"(0.14, 0.33)",0.19,"(0.1, 0.07)",-0.03,"60% (n = 180)","0%","0%","0%","40% (n = 120)",300
"48",18,"(0.14, 0.33)",0.19,"(0.1, 0.1)",0,"80% (n = 240)","0%","0%","0%","20% (n = 60)",300
"49",19,"(0.14, 0.33)",0.19,"(0.07, 0.1)",0.03,"81% (n = 242)","0%","0%","0%","19% (n = 58)",300
"50",20,"(0.14, 0.33)",0.19,"(0.05, 0.1)",0.05,"80% (n = 241)","0%","0%","0%","20% (n = 59)",300
"51",32,"(0.2, 0.4)",0.2,"(0.1, 0.05)",-0.05,"0%","0%","5% (n = 14)","0%","95% (n = 286)",300
"52",31,"(0.2, 0.4)",0.2,"(0.1, 0.07)",-0.03,"0%","0%","41% (n = 124)","0%","59% (n = 176)",300
"53",33,"(0.2, 0.4)",0.2,"(0.1, 0.1)",0,"0%","64% (n = 193)","0%","0%","36% (n = 107)",300
"54",34,"(0.2, 0.4)",0.2,"(0.07, 0.1)",0.03,"79% (n = 238)","0%","0%","0%","21% (n = 62)",300
"55",35,"(0.2, 0.4)",0.2,"(0.05, 0.1)",0.05,"81% (n = 242)","0%","0%","0%","19% (n = 58)",300
"56",67,"(0.33, 0.57)",0.24,"(0.1, 0.05)",-0.05,"0%","0%","4% (n = 13)","0%","96% (n = 287)",300
"57",66,"(0.33, 0.57)",0.24,"(0.1, 0.07)",-0.03,"0%","0%","46% (n = 138)","1% (n = 2)","53% (n = 160)",300
"58",68,"(0.33, 0.57)",0.24,"(0.1, 0.1)",0,"0%","0%","72% (n = 216)","0% (n = 1)","28% (n = 83)",300
"59",69,"(0.33, 0.57)",0.24,"(0.07, 0.1)",0.03,"0%","0%","82% (n = 245)","0%","18% (n = 55)",300
"60",70,"(0.33, 0.57)",0.24,"(0.05, 0.1)",0.05,"0%","0%","85% (n = 254)","0% (n = 1)","15% (n = 45)",300
"61",22,"(0.14, 0.4)",0.26,"(0.1, 0.05)",-0.05,"0%","0%","0%","0%","100% (n = 300)",300
"62",21,"(0.14, 0.4)",0.26,"(0.1, 0.07)",-0.03,"21% (n = 64)","0%","0%","0%","79% (n = 236)",300
"63",23,"(0.14, 0.4)",0.26,"(0.1, 0.1)",0,"60% (n = 180)","0%","0%","0%","40% (n = 120)",300
"64",24,"(0.14, 0.4)",0.26,"(0.07, 0.1)",0.03,"62% (n = 186)","0%","0%","0%","38% (n = 114)",300
"65",25,"(0.14, 0.4)",0.26,"(0.05, 0.1)",0.05,"64% (n = 193)","0%","0%","0%","36% (n = 107)",300
"66",62,"(0.3, 0.57)",0.27,"(0.1, 0.05)",-0.05,"0%","0%","0% (n = 1)","0%","100% (n = 299)",300
"67",61,"(0.3, 0.57)",0.27,"(0.1, 0.07)",-0.03,"0%","0%","24% (n = 73)","0% (n = 1)","75% (n = 226)",300
"68",63,"(0.3, 0.57)",0.27,"(0.1, 0.1)",0,"0%","0%","62% (n = 187)","0%","38% (n = 113)",300
"69",64,"(0.3, 0.57)",0.27,"(0.07, 0.1)",0.03,"0%","0%","73% (n = 220)","0%","27% (n = 80)",300
"70",65,"(0.3, 0.57)",0.27,"(0.05, 0.1)",0.05,"0%","0%","80% (n = 239)","0%","20% (n = 61)",300
"71",7,"(0.1, 0.4)",0.3,"(0.1, 0.05)",-0.05,"0%","0%","0%","0%","100% (n = 300)",300
"72",6,"(0.1, 0.4)",0.3,"(0.1, 0.07)",-0.03,"0%","0%","0%","0%","100% (n = 300)",300
"73",8,"(0.1, 0.4)",0.3,"(0.1, 0.1)",0,"0%","0%","0%","0%","100% (n = 300)",300
"74",9,"(0.1, 0.4)",0.3,"(0.07, 0.1)",0.03,"16% (n = 49)","0%","0%","0%","84% (n = 251)",300
"75",10,"(0.1, 0.4)",0.3,"(0.05, 0.1)",0.05,"47% (n = 142)","0%","0%","0%","53% (n = 158)",300
"76",42,"(0.24, 0.57)",0.33,"(0.1, 0.05)",-0.05,"0%","0%","0%","0%","100% (n = 300)",300
"77",41,"(0.24, 0.57)",0.33,"(0.1, 0.07)",-0.03,"0%","0%","1% (n = 2)","0%","99% (n = 298)",300
"78",43,"(0.24, 0.57)",0.33,"(0.1, 0.1)",0,"0%","0%","32% (n = 96)","0%","68% (n = 204)",300
"79",44,"(0.24, 0.57)",0.33,"(0.07, 0.1)",0.03,"0%","0%","56% (n = 168)","0% (n = 1)","44% (n = 131)",300
"80",45,"(0.24, 0.57)",0.33,"(0.05, 0.1)",0.05,"0%","0%","60% (n = 181)","0%","40% (n = 119)",300
"81",37,"(0.2, 0.57)",0.37,"(0.1, 0.05)",-0.05,"0%","0%","0%","0%","100% (n = 300)",300
"82",36,"(0.2, 0.57)",0.37,"(0.1, 0.07)",-0.03,"0%","0%","0%","0%","100% (n = 300)",300
"83",38,"(0.2, 0.57)",0.37,"(0.1, 0.1)",0,"0%","0%","2% (n = 6)","0%","98% (n = 294)",300
"84",39,"(0.2, 0.57)",0.37,"(0.07, 0.1)",0.03,"0%","0%","15% (n = 44)","0% (n = 1)","85% (n = 255)",300
"85",40,"(0.2, 0.57)",0.37,"(0.05, 0.1)",0.05,"0%","0%","40% (n = 120)","0%","60% (n = 180)",300
"86",27,"(0.16, 0.57)",0.41,"(0.1, 0.05)",-0.05,"0%","0%","0%","0%","100% (n = 300)",300
"87",26,"(0.16, 0.57)",0.41,"(0.1, 0.07)",-0.03,"0%","0%","0%","0%","100% (n = 300)",300
"88",28,"(0.16, 0.57)",0.41,"(0.1, 0.1)",0,"0%","0%","0%","0%","100% (n = 300)",300
"89",29,"(0.16, 0.57)",0.41,"(0.07, 0.1)",0.03,"0%","0%","0%","0%","100% (n = 300)",300
"90",30,"(0.16, 0.57)",0.41,"(0.05, 0.1)",0.05,"0%","0%","5% (n = 15)","0%","95% (n = 285)",300
"91",12,"(0.1, 0.57)",0.47,"(0.1, 0.05)",-0.05,"0%","0%","0%","0%","100% (n = 300)",300
"92",11,"(0.1, 0.57)",0.47,"(0.1, 0.07)",-0.03,"0%","0%","0%","0%","100% (n = 300)",300
"93",13,"(0.1, 0.57)",0.47,"(0.1, 0.1)",0,"0%","0%","0%","0%","100% (n = 300)",300
"94",14,"(0.1, 0.57)",0.47,"(0.07, 0.1)",0.03,"0%","0%","0%","0%","100% (n = 300)",300
"95",15,"(0.1, 0.57)",0.47,"(0.05, 0.1)",0.05,"0%","0%","0%","0%","100% (n = 300)",300
"96",2,"(0.08, 0.57)",0.49,"(0.1, 0.05)",-0.05,"0%","0%","0%","0%","100% (n = 300)",300
"97",1,"(0.08, 0.57)",0.49,"(0.1, 0.07)",-0.03,"0%","0%","0%","0%","100% (n = 300)",300
"98",3,"(0.08, 0.57)",0.49,"(0.1, 0.1)",0,"0%","0%","0%","0%","100% (n = 300)",300
"99",4,"(0.08, 0.57)",0.49,"(0.07, 0.1)",0.03,"0%","0%","0%","0%","100% (n = 300)",300
"100",5,"(0.08, 0.57)",0.49,"(0.05, 0.1)",0.05,"0%","0%","0%","0%","100% (n = 300)",300
