"","group_id","eff1eff2","eff2minus1","rho01rho02","rho02minus01","method2","method2, method3","method3","method4","n"
"72",6,"(0.1, 0.4)",0.3,"(0.1, 0.07)",-0.03,"0%","0%","8% (n = 38)","92% (n = 412)",450
"73",8,"(0.1, 0.4)",0.3,"(0.1, 0.1)",0,"0%","16% (n = 74)","0%","84% (n = 376)",450
"74",9,"(0.1, 0.4)",0.3,"(0.07, 0.1)",0.03,"34% (n = 154)","0%","0%","66% (n = 297)",450
"75",10,"(0.1, 0.4)",0.3,"(0.05, 0.1)",0.05,"48% (n = 215)","0%","0%","52% (n = 235)",450
"76",42,"(0.24, 0.57)",0.33,"(0.1, 0.05)",-0.05,"0%","0% (n = 2)","35% (n = 157)","85% (n = 382)",450
"77",41,"(0.24, 0.57)",0.33,"(0.1, 0.07)",-0.03,"0%","0%","39% (n = 176)","72% (n = 326)",450
"78",43,"(0.24, 0.57)",0.33,"(0.1, 0.1)",0,"0%","0%","53% (n = 240)","55% (n = 248)",450
"79",44,"(0.24, 0.57)",0.33,"(0.07, 0.1)",0.03,"0%","4% (n = 17)","64% (n = 287)","47% (n = 211)",450
"80",45,"(0.24, 0.57)",0.33,"(0.05, 0.1)",0.05,"0%","9% (n = 40)","68% (n = 306)","42% (n = 189)",450
"81",37,"(0.2, 0.57)",0.37,"(0.1, 0.05)",-0.05,"0%","0% (n = 2)","23% (n = 102)","92% (n = 412)",450
"82",36,"(0.2, 0.57)",0.37,"(0.1, 0.07)",-0.03,"0%","0%","25% (n = 112)","85% (n = 381)",450
"83",38,"(0.2, 0.57)",0.37,"(0.1, 0.1)",0,"0%","0%","34% (n = 151)","69% (n = 309)",450
"84",39,"(0.2, 0.57)",0.37,"(0.07, 0.1)",0.03,"0%","2% (n = 7)","44% (n = 200)","61% (n = 273)",450
"85",40,"(0.2, 0.57)",0.37,"(0.05, 0.1)",0.05,"0%","7% (n = 30)","53% (n = 240)","56% (n = 252)",450
"86",27,"(0.16, 0.57)",0.41,"(0.1, 0.05)",-0.05,"0%","0%","16% (n = 71)","95% (n = 427)",450
"87",26,"(0.16, 0.57)",0.41,"(0.1, 0.07)",-0.03,"0%","0%","17% (n = 75)","91% (n = 409)",450
"88",28,"(0.16, 0.57)",0.41,"(0.1, 0.1)",0,"0%","0%","17% (n = 76)","83% (n = 374)",450
"89",29,"(0.16, 0.57)",0.41,"(0.07, 0.1)",0.03,"0%","0%","24% (n = 110)","76% (n = 344)",450
"90",30,"(0.16, 0.57)",0.41,"(0.05, 0.1)",0.05,"0%","0%","34% (n = 154)","69% (n = 309)",450
"91",12,"(0.1, 0.57)",0.47,"(0.1, 0.05)",-0.05,"0%","0%","9% (n = 39)","100% (n = 450)",450
"92",11,"(0.1, 0.57)",0.47,"(0.1, 0.07)",-0.03,"0%","0%","2% (n = 11)","99% (n = 446)",450
"93",13,"(0.1, 0.57)",0.47,"(0.1, 0.1)",0,"0%","0%","5% (n = 23)","95% (n = 427)",450
"94",14,"(0.1, 0.57)",0.47,"(0.07, 0.1)",0.03,"0%","0%","6% (n = 28)","94% (n = 422)",450
"95",15,"(0.1, 0.57)",0.47,"(0.05, 0.1)",0.05,"0%","0%","8% (n = 35)","92% (n = 415)",450
"96",2,"(0.08, 0.57)",0.49,"(0.1, 0.05)",-0.05,"0%","0%","7% (n = 32)","100% (n = 450)",450
"97",1,"(0.08, 0.57)",0.49,"(0.1, 0.07)",-0.03,"0%","0%","0% (n = 1)","100% (n = 450)",450
"98",3,"(0.08, 0.57)",0.49,"(0.1, 0.1)",0,"0%","0%","2% (n = 7)","98% (n = 443)",450
"99",4,"(0.08, 0.57)",0.49,"(0.07, 0.1)",0.03,"0%","0%","3% (n = 13)","97% (n = 437)",450
"100",5,"(0.08, 0.57)",0.49,"(0.05, 0.1)",0.05,"0%","0%","4% (n = 19)","96% (n = 431)",450
